"store";"sku";"price";"msrp"
"store_7x24petshop_main_tr";"KEGDA57010";55;55
"store_7x24petshop_main_tr";"KEGDA57020";79;79
"store_7x24petshop_main_tr";"KEGDA63130";14;14
"store_7x24petshop_main_tr";"KEGDA63170";14;14
"store_7x24petshop_main_tr";"KEGDA58010";55;55
"store_7x24petshop_main_tr";"KEGDA58020";79;79
"store_7x24petshop_main_tr";"IAM5000174640052";3,9;3,9
"store_7x24petshop_main_tr";"IAM5000174641035";3,9;3,9
"store_7x24petshop_main_tr";"IAM5000174641226";3,9;3,9
"store_7x24petshop_main_tr";"IAM5000174990980";3,9;3,9
"store_7x24petshop_main_tr";"IAM5000174641141";3,9;3,9
"store_7x24petshop_main_tr";"IAM5000174641363";3,9;3,9
"store_7x24petshop_main_tr";"KUGDA600007";2;2,22
"store_7x24petshop_main_tr";"KUGDA900003";2,21;2,45
"store_7x24petshop_main_tr";"KUGDA600003";3,88;4,31
"store_7x24petshop_main_tr";"KUGDA600001";2,12;2,36
"store_7x24petshop_main_tr";"KUGDA600002";2,66;2,95
"store_7x24petshop_main_tr";"KUGDA666666";2,97;3,3
"store_7x24petshop_main_tr";"KUGDA777777";7,08;7,87
"store_7x24petshop_main_tr";"KEGDA340133";2,25;2,25
"store_7x24petshop_main_tr";"KEGDA340136";2,25;2,25
"store_7x24petshop_main_tr";"KEGDA340135";2,25;2,25
"store_7x24petshop_main_tr";"KEGDA340134";2,25;2,25
"store_7x24petshop_main_tr";"KEGDA340131";2,25;2,25
"store_7x24petshop_main_tr";"KEGDA3401321";2,25;2,25
"store_7x24petshop_main_tr";"KEGDA340140";2,6;2,6
"store_7x24petshop_main_tr";"KEGDA340141";2,6;2,6
"store_7x24petshop_main_tr";"KEGDA340144";2,6;2,6
"store_7x24petshop_main_tr";"KEGDA340145";2,6;2,6
"store_7x24petshop_main_tr";"KOGDA12152524";67,5;75
"store_7x24petshop_main_tr";"KEGDA5114453";196,52;218,36
"store_7x24petshop_main_tr";"KEGDA12066094";44,66;49,62
"store_7x24petshop_main_tr";"KEGDA12066180";34,62;38,47
"store_7x24petshop_main_tr";"KEGDA12171003";81;90
"store_7x24petshop_main_tr";"EUK5000174905120";64;64
"store_7x24petshop_main_tr";"IAM5000174911121";54,5;54,5
"store_7x24petshop_main_tr";"IAM8710974800996";84;84
"store_7x24petshop_main_tr";"IAM5000174275292";195,01;195,01
"store_7x24petshop_main_tr";"KOGDA11035";69;69
"store_7x24petshop_main_tr";"KOGDA12015";69;69
"store_7x24petshop_main_tr";"KOGDA13030";209;209
"store_7x24petshop_main_tr";"KOGDA15025";65;65
"store_7x24petshop_main_tr";"KOGDA16040";205;205
"store_7x24petshop_main_tr";"KOGDA17030";205;205
"store_7x24petshop_main_tr";"KEGDA5119653";171,6;195
"store_7x24petshop_main_tr";"KEGDA12158060";35,2;40
"store_7x24petshop_main_tr";"KEGDA5119658";154;175
"store_7x24petshop_main_tr";"KEGDA5119663";171,6;195
"store_7x24petshop_main_tr";"KEGDA12158063";35,2;40
"store_7x24petshop_main_tr";"KEGDA12158156";30,8;35
"store_7x24petshop_main_tr";"KEGDA5119657";43,57;49,51
